B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,lcc,lat,long,date
3077,2969,1688,2018,2306,2187,2448,2652,2458,2680,2738,Urban / built up,3.119542,35.600603,2021-03-18
2840,2616,1008,1348,1768,1898,2251,2508,2442,2630,2659,"Open forest, unknown",1.957047,36.045455,2021-03-03
2259,1440,453,799,960,1295,2238,2594,2608,2694,2740,Cultivated and managed vegetation/agriculture (cropland),2.303663,38.044697,2020-05-27
5279,3452,14352,13504,12744,13047,12248,11899,12112,11444,16065,"Open forest, unknown",3.465685,39.304465,2021-02-04
2159,1491,1164,1384,1188,1791,2928,3196,3106,3334,4351,Cultivated and managed vegetation/agriculture (cropland),2.337267,37.97035,2021-01-19
1878,1346,499,753,852,1115,2011,2392,2182,2575,2748,Urban / built up,0.585573,37.585079,2021-02-16
2452,1744,854,1190,1206,1849,2981,3176,2836,3401,3416,"Open forest, unknown",2.334123,38.024959,2020-11-24
3017,2015,836,1188,1496,1656,2290,2595,2806,2792,2726,Cultivated and managed vegetation/agriculture (cropland),0.073907,37.094913,2021-01-30
4075,3513,4036,4232,4460,4844,4891,4981,4464,4978,6813,"Open forest, unknown",0.850228,38.380051,2021-01-14
4843,4378,2612,3104,3920,3929,3734,3901,4276,3895,3224,Urban / built up,1.744078,40.047981,2021-03-14
3661,3145,3262,3174,3230,3614,3614,3763,3882,3913,7809,"Open forest, unknown",3.479682,39.126605,2021-03-10
3908,2898,959,1476,1948,2264,2824,3099,3320,3411,3518,Cultivated and managed vegetation/agriculture (cropland),-1.091621,37.968018,2021-02-10
2635,1734,465,814,886,1428,2637,3006,3222,3332,2969,"Open forest, unknown",3.931885,41.206845,2021-02-25
4023,3250,2622,2888,2868,3337,4074,4329,4288,4455,5447,"Open forest, unknown",2.23902,38.014732,2021-02-25
3387,2862,5832,5400,5372,5374,5476,5794,5516,5882,1963,Cultivated and managed vegetation/agriculture (cropland),-0.202438,38.260265,2021-03-09
2954,2243,835,1288,1484,2274,2584,2772,2698,2856,3337,"Open forest, unknown",3.121325,37.41735,2020-06-06
2221,1616,471,738,819,1087,1641,1840,1918,2083,2701,"Open forest, unknown",-2.384269,40.460107,2021-02-17
4811,4060,4404,4448,4312,4576,4795,4797,4944,4896,4569,Cultivated and managed vegetation/agriculture (cropland),-0.392739,37.812256,2021-03-04
2299,1443,1076,1282,1278,1595,2916,3312,3100,3518,3558,Cultivated and managed vegetation/agriculture (cropland),-0.254239,37.637823,2021-02-03
5017,4130,7736,7348,6888,7558,7314,7075,7076,6937,15738,Cultivated and managed vegetation/agriculture (cropland),0.478308,35.771081,2020-05-28
3834,2636,775,1140,1316,1951,2611,2986,3084,3402,3392,"Open forest, unknown",-2.218013,40.804862,2021-03-08
3535,3174,436,800,1844,2017,2180,2252,2492,2401,2279,"Open forest, unknown",3.972171,40.136578,2021-02-05
2938,2551,408,773,1164,1464,1730,1920,1816,2042,2024,Urban / built up,3.153435,39.251094,2021-01-14
3636,3237,1128,1542,2262,2400,2579,2806,2718,2805,2902,Urban / built up,2.789235,39.501122,2020-12-26
3566,2945,879,1130,1570,1931,2160,2288,2202,2473,2332,Urban / built up,3.15313,39.251025,2021-03-31
3129,2077,590,1005,1272,1758,2601,2911,2874,3149,3015,Cultivated and managed vegetation/agriculture (cropland),0.215411,36.392683,2021-01-23
3892,2839,6268,5800,5368,5850,5884,5913,5552,5760,6711,Cultivated and managed vegetation/agriculture (cropland),-0.935762,37.333232,2021-02-07
2792,2692,1108,1518,1572,2194,2586,2932,2740,2895,2721,Urban / built up,3.119693,35.600906,2021-01-18
3109,2850,1230,1534,2155,2201,2710,2897,3000,3060,2997,Urban / built up,1.746059,40.054664,2021-01-24
2547,2065,472,680,878,1181,1409,1567,1684,1820,1799,"Open forest, unknown",3.348706,39.205719,2021-01-27
3496,3136,5084,4828,4692,5174,5056,5164,4400,5183,12187,Urban / built up,1.101926,40.259786,2021-04-25
1367,998,535,774,895,1009,1559,1772,1236,1761,2462,Urban / built up,2.338685,37.973611,2020-12-22
3176,2578,1544,1742,1832,2099,2510,2715,2692,2865,2846,Cultivated and managed vegetation/agriculture (cropland),0.408544,36.392484,2021-03-01
2177,1756,1312,1438,1632,1881,2280,2407,2510,2480,2974,"Open forest, unknown",0.490639,35.762813,2021-03-09
2832,2580,1166,1582,2132,2309,2270,2281,2282,2393,2413,Urban / built up,3.128545,37.427279,2020-06-18
2675,1929,1154,1368,1376,1747,2483,2690,2880,2924,2867,"Open forest, unknown",0.07898,35.645542,2021-03-03
1393,1329,4564,3708,3498,3776,3785,3740,3398,3515,9568,Urban / built up,3.504414,39.055208,2021-04-01
7092,6774,11136,10312,9360,9845,9256,9065,9616,8836,16041,Urban / built up,4.205766,34.344984,2021-03-15
3530,2760,3480,3506,3436,3879,4094,4158,3858,4182,6980,Urban / built up,-0.486654,39.657672,2021-01-13
4285,3304,2318,2494,2788,3040,3360,3553,3614,3741,3423,Cultivated and managed vegetation/agriculture (cropland),-0.104261,38.019997,2021-03-04
2910,2311,730,1058,1326,1609,1906,2156,2194,2365,2484,Urban / built up,0.981592,37.318615,2021-04-15
1886,1629,588,670,910,1346,1698,1652,1416,1841,2166,Urban / built up,-3.39115,37.677002,2021-02-17
3232,2799,900,1230,1798,1983,2380,2571,2552,2679,1948,Cultivated and managed vegetation/agriculture (cropland),-0.485014,38.091536,2021-03-01
3091,2431,622,1009,1632,1812,2231,2381,2696,2756,2384,Cultivated and managed vegetation/agriculture (cropland),-0.919169,38.267363,2021-03-29
2028,1548,637,888,1084,1529,1900,2093,1966,2306,2278,"Open forest, unknown",0.850325,38.48877,2021-02-24
3264,2589,601,1054,1428,1582,1935,2178,2392,2410,2302,Cultivated and managed vegetation/agriculture (cropland),-0.970615,38.007244,2021-04-11
2339,1426,330,524,572,1183,2200,2615,2186,2926,2786,Cultivated and managed vegetation/agriculture (cropland),0.007955,35.582789,2021-03-20
6437,5588,8296,7960,7548,8031,7811,7751,7928,7604,15110,"Open forest, unknown",-3.913658,39.621515,2021-02-13
2073,1600,503,823,1078,1226,1870,2050,1862,2269,2266,Cultivated and managed vegetation/agriculture (cropland),0.044387,35.707148,2021-03-16
4485,3509,5504,5328,5052,5284,5329,5346,5420,5421,8875,Urban / built up,0.011078,37.076468,2021-04-24
2378,1788,1430,1560,1554,1926,2593,2915,2798,3008,3798,Urban / built up,-0.56139,37.33062,2021-02-28
2860,2081,2416,2330,2094,2492,2963,3103,3330,3270,3006,Cultivated and managed vegetation/agriculture (cropland),-0.438047,37.733393,2021-03-03
1577,848,392,724,465,1028,2401,2764,3178,2835,2886,Cultivated and managed vegetation/agriculture (cropland),0.120656,37.813674,2021-01-13
2844,1773,551,976,931,1677,2680,3015,3118,3387,3611,"Open forest, unknown",3.97832,41.903321,2021-01-04
3228,2842,651,1038,1432,2135,2239,2513,2357,2652,2527,Cultivated and managed vegetation/agriculture (cropland),-0.155703,37.979636,2021-02-18
2263,1696,628,1048,1296,1524,2572,2860,3012,2990,3100,"Open forest, unknown",2.118093,36.153298,2021-03-17
1660,1371,423,674,829,1161,1500,1637,1596,1692,2037,Cultivated and managed vegetation/agriculture (cropland),0.486422,36.018284,2021-03-18
3224,2226,686,963,1252,1525,2220,2639,2592,2942,2919,"Open forest, unknown",-3.346983,39.928839,2021-03-03
1809,1287,1372,1192,1238,1498,1882,1957,1950,2128,1877,"Open forest, unknown",0.497345,35.769616,2021-02-25
